name,source,structure,xmin,xmax,ymin,ymax,zmin,zmax
20160708_I01_002_2,20160708_I01_002,alph_actinin,151,437,139,549,9,52
20160708_I01_002_6,20160708_I01_002,alph_actinin,1,290,578,1017,10,61
20160708_I01_002_9,20160708_I01_002,alph_actinin,608,1023,545,984,10,57
20160708_I01_002_12,20160708_I01_002,alph_actinin,13,368,256,757,10,56
20160708_I01_003_1,20160708_I01_003,alph_actinin,130,515,650,918,12,65
20160708_I01_003_2,20160708_I01_003,alph_actinin,436,804,69,382,12,64
20160708_I01_003_4,20160708_I01_003,alph_actinin,554,1023,259,630,13,60
20160708_I01_003_6,20160708_I01_003,alph_actinin,91,488,10,543,13,67
20160708_I01_003_8,20160708_I01_003,alph_actinin,283,861,502,864,13,57
20160708_I01_003_9,20160708_I01_003,alph_actinin,710,1023,337,660,13,57
20160708_I01_004_1,20160708_I01_004,alph_actinin,331,789,334,642,13,62
20160708_I01_004_3,20160708_I01_004,alph_actinin,439,921,686,984,13,59
20160708_I01_004_7,20160708_I01_004,alph_actinin,160,639,382,825,14,59
20160708_I01_005_2,20160708_I01_005,alph_actinin,256,663,358,741,5,63
20160708_I01_005_3,20160708_I01_005,alph_actinin,337,618,46,522,5,49
20160708_I01_005_5,20160708_I01_005,alph_actinin,79,338,136,567,6,47
20160708_I01_005_6,20160708_I01_005,alph_actinin,457,798,280,591,6,46
20160708_I01_005_7,20160708_I01_005,alph_actinin,376,774,578,906,6,46
20160708_I01_005_8,20160708_I01_005,alph_actinin,536,975,323,630,6,48
20160708_I01_005_9,20160708_I01_005,alph_actinin,509,963,10,332,6,51
20160708_I01_005_10,20160708_I01_005,alph_actinin,587,936,475,873,6,46
20160708_I01_005_11,20160708_I01_005,alph_actinin,533,1020,184,491,6,48
20160708_I01_005_13,20160708_I01_005,alph_actinin,97,419,560,888,6,47
20160708_I01_005_14,20160708_I01_005,alph_actinin,154,503,190,627,8,46
20160708_I01_006_6,20160708_I01_006,alph_actinin,1,401,286,813,6,52
20160708_I01_006_7,20160708_I01_006,alph_actinin,310,657,184,515,6,50
20160708_I01_006_12,20160708_I01_006,alph_actinin,361,678,10,440,7,57
20160708_I01_007_1,20160708_I01_007,alph_actinin,35,509,10,356,5,64
20160708_I01_007_2,20160708_I01_007,alph_actinin,169,512,277,639,5,61
20160708_I01_007_4,20160708_I01_007,alph_actinin,683,924,551,885,5,65
20160708_I01_007_5,20160708_I01_007,alph_actinin,620,948,316,681,5,65
20160708_I01_007_6,20160708_I01_007,alph_actinin,88,449,331,747,6,65
20160708_I01_007_10,20160708_I01_007,alph_actinin,424,888,1,461,6,63
20160708_I01_007_12,20160708_I01_007,alph_actinin,559,975,13,494,6,65
20160708_I01_007_14,20160708_I01_007,alph_actinin,274,519,1,317,6,65
20160708_I01_008_1,20160708_I01_008,alph_actinin,409,816,662,978,5,57
20160708_I01_008_2,20160708_I01_008,alph_actinin,439,783,298,561,5,58
20160708_I01_008_3,20160708_I01_008,alph_actinin,403,816,139,335,5,58
20160708_I01_008_5,20160708_I01_008,alph_actinin,322,618,659,1023,5,53
20160708_I01_008_6,20160708_I01_008,alph_actinin,196,810,412,777,5,57
20160708_I01_008_10,20160708_I01_008,alph_actinin,719,1011,548,885,5,53
20160708_I01_008_11,20160708_I01_008,alph_actinin,130,464,319,690,5,54
20160708_I01_008_13,20160708_I01_008,alph_actinin,484,1023,34,311,5,58
20160708_I01_009_3,20160708_I01_009,alph_actinin,388,909,91,380,3,65
20160708_I01_009_4,20160708_I01_009,alph_actinin,34,335,445,792,3,69
20160708_I01_009_5,20160708_I01_009,alph_actinin,313,891,569,891,3,69
20160708_I01_009_8,20160708_I01_009,alph_actinin,28,263,373,1014,4,70
20160708_I01_009_12,20160708_I01_009,alph_actinin,572,774,587,819,4,69
20160708_I01_010_1,20160708_I01_010,alph_actinin,52,389,109,440,6,51
20160708_I01_010_3,20160708_I01_010,alph_actinin,466,846,307,705,6,50
20160708_I01_010_6,20160708_I01_010,alph_actinin,151,558,316,705,6,47
20160708_I01_010_7,20160708_I01_010,alph_actinin,190,482,578,1023,6,45
20160708_I01_010_8,20160708_I01_010,alph_actinin,415,792,686,1005,6,48
20160708_I01_010_9,20160708_I01_010,alph_actinin,445,816,1,316,6,50
20160708_I01_011_2,20160708_I01_011,alph_actinin,286,669,545,1002,3,62
20160708_I01_011_3,20160708_I01_011,alph_actinin,292,720,298,588,3,63
20160708_I01_011_4,20160708_I01_011,alph_actinin,370,747,157,488,3,59
