name,source,structure,xmin,xmax,ymin,ymax,zmin,zmax
20160719_S01_002_1,20160719_S01_002,nucleus,187,561,241,588,9,48
20160719_S01_002_2,20160719_S01_002,nucleus,451,879,178,512,9,50
20160719_S01_002_5,20160719_S01_002,nucleus,166,606,1,380,9,47
20160719_S01_002_8,20160719_S01_002,nucleus,478,912,548,939,9,52
20160719_S01_002_10,20160719_S01_002,nucleus,346,786,1,314,9,51
20160719_S01_002_11,20160719_S01_002,nucleus,533,837,397,657,9,50
20160719_S01_003_2,20160719_S01_003,nucleus,205,476,148,522,9,61
20160719_S01_003_7,20160719_S01_003,nucleus,205,753,593,918,9,58
20160719_S01_003_8,20160719_S01_003,nucleus,1,386,545,876,9,56
20160719_S01_003_10,20160719_S01_003,nucleus,599,891,271,672,9,63
20160719_S01_003_11,20160719_S01_003,nucleus,226,585,331,714,9,57
20160719_S01_003_12,20160719_S01_003,nucleus,602,957,563,915,9,62
20160719_S01_003_13,20160719_S01_003,nucleus,539,750,106,452,10,62
20160719_S01_003_14,20160719_S01_003,nucleus,704,1023,34,434,9,65
20160719_S01_003_16,20160719_S01_003,nucleus,433,711,1,633,9,59
20160719_S01_003_17,20160719_S01_003,nucleus,424,744,376,771,9,62
20160719_S01_004_1,20160719_S01_004,nucleus,43,522,223,780,3,58
20160719_S01_004_2,20160719_S01_004,nucleus,466,765,253,681,3,56
20160719_S01_004_3,20160719_S01_004,nucleus,545,864,367,687,3,55
20160719_S01_004_5,20160719_S01_004,nucleus,271,735,97,491,3,54
20160719_S01_004_7,20160719_S01_004,nucleus,680,1011,566,837,3,51
20160719_S01_004_8,20160719_S01_004,nucleus,79,383,1,512,3,59
20160719_S01_004_9,20160719_S01_004,nucleus,262,684,731,1023,3,51
20160719_S01_004_10,20160719_S01_004,nucleus,328,765,602,846,3,54
20160719_S01_004_14,20160719_S01_004,nucleus,340,693,10,344,5,58
20160719_S01_004_16,20160719_S01_004,nucleus,130,401,620,918,0,55
20160719_S01_006_1,20160719_S01_006,nucleus,13,434,1,293,3,49
20160719_S01_006_2,20160719_S01_006,nucleus,49,407,590,885,3,47
20160719_S01_006_3,20160719_S01_006,nucleus,490,852,4,308,3,47
20160719_S01_006_4,20160719_S01_006,nucleus,569,939,424,681,3,51
20160719_S01_006_6,20160719_S01_006,nucleus,199,494,163,416,3,47
20160719_S01_006_7,20160719_S01_006,nucleus,262,579,7,269,3,51
20160719_S01_006_8,20160719_S01_006,nucleus,325,669,623,1023,3,50
20160719_S01_006_9,20160719_S01_006,nucleus,581,840,7,461,3,49
20160719_S01_006_11,20160719_S01_006,nucleus,166,693,316,600,3,48
20160719_S01_006_12,20160719_S01_006,nucleus,412,720,124,531,4,49
20160719_S01_006_13,20160719_S01_006,nucleus,139,738,364,738,3,49
20160719_S01_006_14,20160719_S01_006,nucleus,587,1023,653,915,4,56
20160719_S01_006_15,20160719_S01_006,nucleus,1,281,671,1023,3,47
20160719_S01_006_16,20160719_S01_006,nucleus,10,312,199,497,4,48
20160719_S01_006_17,20160719_S01_006,nucleus,584,975,250,500,4,50
20160719_S01_007_1,20160719_S01_007,nucleus,145,419,220,630,2,50
20160719_S01_007_2,20160719_S01_007,nucleus,66,522,25,449,2,52
20160719_S01_007_3,20160719_S01_007,nucleus,169,672,481,843,2,52
20160719_S01_007_4,20160719_S01_007,nucleus,373,798,298,615,2,56
20160719_S01_007_5,20160719_S01_007,nucleus,566,984,629,939,2,52
20160719_S01_007_7,20160719_S01_007,nucleus,379,861,448,855,2,49
20160719_S01_007_8,20160719_S01_007,nucleus,647,906,22,455,2,52
20160719_S01_007_11,20160719_S01_007,nucleus,223,534,695,957,4,49
20160719_S01_008_1,20160719_S01_008,nucleus,554,888,599,885,3,57
20160719_S01_008_2,20160719_S01_008,nucleus,478,936,1,440,3,58
20160719_S01_008_3,20160719_S01_008,nucleus,271,546,4,305,3,56
20160719_S01_008_4,20160719_S01_008,nucleus,319,633,226,561,3,56
20160719_S01_008_5,20160719_S01_008,nucleus,587,870,265,717,3,56
20160719_S01_008_7,20160719_S01_008,nucleus,490,894,761,1002,3,53
20160719_S01_008_11,20160719_S01_008,nucleus,481,759,145,452,3,57
20160719_S01_008_12,20160719_S01_008,nucleus,716,957,139,503,3,55
20160719_S01_008_14,20160719_S01_008,nucleus,61,543,439,690,3,55
20160719_S01_008_15,20160719_S01_008,nucleus,710,1023,560,897,3,54
20160719_S01_008_16,20160719_S01_008,nucleus,103,546,629,915,3,55
20160719_S01_010_1,20160719_S01_010,nucleus,58,335,626,1023,4,50
20160719_S01_010_2,20160719_S01_010,nucleus,70,509,235,708,4,55
20160719_S01_010_3,20160719_S01_010,nucleus,226,467,1,419,4,55
20160719_S01_010_4,20160719_S01_010,nucleus,259,606,418,888,4,53
20160719_S01_010_7,20160719_S01_010,nucleus,626,942,509,1023,4,56
20160719_S01_010_8,20160719_S01_010,nucleus,331,765,436,1002,4,52
20160719_S01_010_14,20160719_S01_010,nucleus,548,888,25,555,4,56
20160719_S01_011_1,20160719_S01_011,nucleus,277,660,361,780,4,64
20160719_S01_011_3,20160719_S01_011,nucleus,1,251,481,792,4,62
20160719_S01_011_4,20160719_S01_011,nucleus,115,508,220,615,4,61
20160719_S01_011_5,20160719_S01_011,nucleus,186,383,472,807,4,64
20160719_S01_011_6,20160719_S01_011,nucleus,707,1002,223,464,5,64
20160719_S01_011_7,20160719_S01_011,nucleus,13,341,716,993,5,64
20160719_S01_011_8,20160719_S01_011,nucleus,466,780,421,702,4,62
20160719_S01_011_9,20160719_S01_011,nucleus,722,1023,64,384,5,60
20160719_S01_011_11,20160719_S01_011,nucleus,16,485,31,350,5,62
20160719_S01_011_12,20160719_S01_011,nucleus,403,642,620,933,4,60
20160719_S01_011_13,20160719_S01_011,nucleus,587,852,121,434,4,61
