name,source,structure,xmin,xmax,ymin,ymax,zmin,zmax
20160705_I01_001_1,20160705_I01_001,mitochondria,10,428,166,509,13,60
20160705_I01_001_4,20160705_I01_001,mitochondria,247,633,457,816,13,56
20160705_I01_001_6,20160705_I01_001,mitochondria,271,579,109,561,13,58
20160705_I01_001_7,20160705_I01_001,mitochondria,421,936,626,972,13,53
20160705_I01_001_8,20160705_I01_001,mitochondria,415,849,163,624,13,53
20160705_I01_001_9,20160705_I01_001,mitochondria,548,909,58,445,13,57
20160705_I01_001_11,20160705_I01_001,mitochondria,469,915,304,792,13,52
20160705_I01_003_5,20160705_I01_003,mitochondria,484,828,166,624,3,49
20160705_I01_003_6,20160705_I01_003,mitochondria,415,732,127,522,3,52
20160705_I01_003_7,20160705_I01_003,mitochondria,605,828,412,885,3,50
20160705_I01_003_9,20160705_I01_003,mitochondria,277,543,241,612,3,50
20160705_I01_004_2,20160705_I01_004,mitochondria,172,555,533,894,3,60
20160705_I01_004_3,20160705_I01_004,mitochondria,199,603,133,488,3,60
20160705_I01_004_6,20160705_I01_004,mitochondria,160,648,563,1005,3,58
20160705_I01_004_8,20160705_I01_004,mitochondria,244,705,79,512,3,55
20160705_I01_004_9,20160705_I01_004,mitochondria,554,783,400,798,3,56
20160705_I01_004_10,20160705_I01_004,mitochondria,527,846,184,597,4,53
20160705_I01_004_11,20160705_I01_004,mitochondria,623,984,647,915,4,55
20160705_I01_004_12,20160705_I01_004,mitochondria,677,1023,1,540,3,52
20160705_I01_006_1,20160705_I01_006,mitochondria,1,377,313,783,1,46
20160705_I01_006_3,20160705_I01_006,mitochondria,346,801,304,732,1,42
20160705_I01_006_5,20160705_I01_006,mitochondria,536,819,145,464,1,42
20160705_I01_006_7,20160705_I01_006,mitochondria,220,672,43,374,1,47
20160705_I01_007_2,20160705_I01_007,mitochondria,250,585,70,356,6,58
20160705_I01_007_3,20160705_I01_007,mitochondria,181,621,505,828,6,58
20160705_I01_007_4,20160705_I01_007,mitochondria,19,597,382,783,6,57
20160705_I01_007_9,20160705_I01_007,mitochondria,43,395,531,918,6,57
20160705_I01_008_1,20160705_I01_008,mitochondria,406,798,28,389,1,57
20160705_I01_008_2,20160705_I01_008,mitochondria,169,437,539,807,1,57
20160705_I01_008_3,20160705_I01_008,mitochondria,181,531,31,549,1,57
20160705_I01_008_5,20160705_I01_008,mitochondria,22,654,575,1023,1,57
20160705_I01_008_6,20160705_I01_008,mitochondria,313,891,382,852,1,55
20160705_I01_008_10,20160705_I01_008,mitochondria,551,900,614,954,2,53
20160705_I01_008_12,20160705_I01_008,mitochondria,322,723,719,1023,1,56
20160705_I01_009_1,20160705_I01_009,mitochondria,67,362,566,948,4,43
20160705_I01_009_5,20160705_I01_009,mitochondria,394,783,593,936,5,40
20160705_I01_009_6,20160705_I01_009,mitochondria,469,792,118,531,5,48
20160705_I01_009_8,20160705_I01_009,mitochondria,584,921,40,296,5,42
20160705_I01_010_1,20160705_I01_010,mitochondria,379,677,328,822,3,62
20160705_I01_010_3,20160705_I01_010,mitochondria,238,615,331,840,3,59
20160705_I01_010_4,20160705_I01_010,mitochondria,614,948,103,421,3,62
20160705_I01_010_12,20160705_I01_010,mitochondria,539,927,623,924,3,70
20160705_I01_011_4,20160705_I01_011,mitochondria,367,795,406,897,2,51
20160705_I01_011_5,20160705_I01_011,mitochondria,358,759,40,443,2,54
20160705_I01_011_6,20160705_I01_011,mitochondria,214,807,97,750,2,52
