name,source,structure,xmin,xmax,ymin,ymax,zmin,zmax
20160705_S03_001_1,20160705_S03_001,microtubules,1,350,617,1023,4,63
20160705_S03_001_3,20160705_S03_001,microtubules,337,684,331,723,4,66
20160705_S03_001_7,20160705_S03_001,microtubules,241,699,421,954,4,65
20160705_S03_002_2,20160705_S03_002,microtubules,238,527,115,567,7,57
20160705_S03_002_3,20160705_S03_002,microtubules,52,374,169,482,8,59
20160705_S03_002_4,20160705_S03_002,microtubules,247,705,659,1017,7,51
20160705_S03_002_7,20160705_S03_002,microtubules,635,1020,397,879,7,53
20160705_S03_002_9,20160705_S03_002,microtubules,346,678,253,732,7,56
20160705_S03_002_11,20160705_S03_002,microtubules,400,714,102,482,7,52
20160705_S03_002_12,20160705_S03_002,microtubules,530,819,427,687,7,54
20160705_S03_003_1,20160705_S03_003,microtubules,94,473,286,648,10,53
20160705_S03_003_2,20160705_S03_003,microtubules,286,753,121,726,10,52
20160705_S03_003_4,20160705_S03_003,microtubules,439,873,454,768,10,51
20160705_S03_003_5,20160705_S03_003,microtubules,575,1023,157,684,10,54
20160705_S03_003_6,20160705_S03_003,microtubules,590,939,539,975,10,50
20160705_S03_003_7,20160705_S03_003,microtubules,608,996,124,389,11,56
20160705_S03_003_10,20160705_S03_003,microtubules,67,488,1,314,10,53
20160705_S03_003_12,20160705_S03_003,microtubules,70,365,157,407,10,52
20160705_S03_005_1,20160705_S03_005,microtubules,400,798,722,984,7,56
20160705_S03_005_2,20160705_S03_005,microtubules,418,786,1,293,7,56
20160705_S03_005_3,20160705_S03_005,microtubules,412,801,217,512,7,55
20160705_S03_005_4,20160705_S03_005,microtubules,481,828,472,753,7,53
20160705_S03_005_5,20160705_S03_005,microtubules,196,726,346,666,8,54
20160705_S03_005_6,20160705_S03_005,microtubules,656,984,82,446,8,52
20160705_S03_005_7,20160705_S03_005,microtubules,524,963,310,807,7,53
20160705_S03_005_8,20160705_S03_005,microtubules,788,1017,1,395,7,55
20160705_S03_005_9,20160705_S03_005,microtubules,148,494,169,407,8,54
20160705_S03_005_11,20160705_S03_005,microtubules,142,479,448,771,8,53
20160705_S03_007_1,20160705_S03_007,microtubules,235,660,1,422,6,59
20160705_S03_007_3,20160705_S03_007,microtubules,367,885,397,732,6,63
20160705_S03_007_6,20160705_S03_007,microtubules,40,320,70,344,6,57
20160705_S03_007_7,20160705_S03_007,microtubules,436,732,656,1023,6,64
20160705_S03_007_10,20160705_S03_007,microtubules,1,266,190,582,6,59
20160705_S03_007_14,20160705_S03_007,microtubules,620,987,475,894,6,58
20160705_S03_007_17,20160705_S03_007,microtubules,262,534,557,1014,6,60
20160705_S03_008_2,20160705_S03_008,microtubules,169,559,424,705,0,53
20160705_S03_008_7,20160705_S03_008,microtubules,611,993,364,713,0,53
20160705_S03_008_9,20160705_S03_008,microtubules,16,512,596,939,0,52
20160705_S03_008_10,20160705_S03_008,microtubules,1,491,37,359,0,49
20160705_S03_008_11,20160705_S03_008,microtubules,406,717,55,503,0,47
20160705_S03_008_16,20160705_S03_008,microtubules,638,876,94,374,0,50
20160705_S03_008_17,20160705_S03_008,microtubules,190,519,641,924,0,52
20160705_S03_008_18,20160705_S03_008,microtubules,512,819,677,930,0,52
20160705_S03_009_1,20160705_S03_009,microtubules,247,537,1,445,6,53
20160705_S03_009_3,20160705_S03_009,microtubules,202,645,310,534,8,48
20160705_S03_009_6,20160705_S03_009,microtubules,512,873,394,729,8,50
20160705_S03_009_8,20160705_S03_009,microtubules,641,975,349,706,8,50
20160705_S03_009_9,20160705_S03_009,microtubules,1,425,542,867,8,46
20160705_S03_009_10,20160705_S03_009,microtubules,151,696,627,999,8,48
20160705_S03_009_11,20160705_S03_009,microtubules,496,933,677,1023,8,54
20160705_S03_010_1,20160705_S03_010,microtubules,109,618,196,488,4,45
20160705_S03_010_4,20160705_S03_010,microtubules,521,894,199,582,4,46
20160705_S03_010_6,20160705_S03_010,microtubules,73,431,115,383,5,47
20160705_S03_010_7,20160705_S03_010,microtubules,605,930,454,819,4,46
20160705_S03_010_8,20160705_S03_010,microtubules,650,1023,166,350,4,43
20160705_S03_010_9,20160705_S03_010,microtubules,178,512,662,930,4,47
20160705_S03_010_11,20160705_S03_010,microtubules,575,822,575,1023,5,46
20160705_S03_012_1,20160705_S03_012,microtubules,572,846,187,597,0,41
20160705_S03_012_3,20160705_S03_012,microtubules,178,446,421,747,1,42
20160705_S03_012_4,20160705_S03_012,microtubules,114,567,103,452,1,44
20160705_S03_012_6,20160705_S03_012,microtubules,499,924,424,837,0,43
20160705_S03_012_9,20160705_S03_012,microtubules,475,807,1,518,1,46
20160705_S03_012_12,20160705_S03_012,microtubules,78,404,617,978,1,45
20160705_S03_014_3,20160705_S03_014,microtubules,82,437,475,864,4,38
20160705_S03_014_4,20160705_S03_014,microtubules,154,446,160,537,4,42
20160705_S03_014_5,20160705_S03_014,microtubules,151,612,1,275,4,39
20160705_S03_014_6,20160705_S03_014,microtubules,379,702,548,807,4,42
20160705_S03_014_7,20160705_S03_014,microtubules,340,717,142,615,4,51
20160705_S03_014_8,20160705_S03_014,microtubules,505,843,118,419,4,40
20160705_S03_014_9,20160705_S03_014,microtubules,454,957,656,990,4,43
20160705_S03_014_11,20160705_S03_014,microtubules,536,1020,406,951,4,42
