Index,inputFolder,inputFilename,xyPixelSize,zPixelSize,memChannel,nucChannel,structureChannel,lightChannel,timePoint,outputSegmentationPath,outputNucSegWholeFilename,outputCellSegWholeFilename
1,\\aibsdata\aics\AssayDevelopment\MicroscopyData\Sue\20160705,20160705_S03_001.czi,0.065,0.29,1,3,2,4,1,\\aibsdata\aics\AssayDevelopment\Analysis\toAnimatedCell\2016_08_12_Nuc_Cell_Seg_3cell_lines\20160705_S03_tub,20160705_S03_001.czi_nucWholeIndex.tiff,20160705_S03_001.czi_cellWholeIndex.tiff
2,\\aibsdata\aics\AssayDevelopment\MicroscopyData\Sue\20160705,20160705_S03_002.czi,0.065,0.29,1,3,2,4,1,\\aibsdata\aics\AssayDevelopment\Analysis\toAnimatedCell\2016_08_12_Nuc_Cell_Seg_3cell_lines\20160705_S03_tub,20160705_S03_002.czi_nucWholeIndex.tiff,20160705_S03_002.czi_cellWholeIndex.tiff
3,\\aibsdata\aics\AssayDevelopment\MicroscopyData\Sue\20160705,20160705_S03_003.czi,0.065,0.29,1,3,2,4,1,\\aibsdata\aics\AssayDevelopment\Analysis\toAnimatedCell\2016_08_12_Nuc_Cell_Seg_3cell_lines\20160705_S03_tub,20160705_S03_003.czi_nucWholeIndex.tiff,20160705_S03_003.czi_cellWholeIndex.tiff
4,\\aibsdata\aics\AssayDevelopment\MicroscopyData\Sue\20160705,20160705_S03_005.czi,0.065,0.29,1,3,2,4,1,\\aibsdata\aics\AssayDevelopment\Analysis\toAnimatedCell\2016_08_12_Nuc_Cell_Seg_3cell_lines\20160705_S03_tub,20160705_S03_005.czi_nucWholeIndex.tiff,20160705_S03_005.czi_cellWholeIndex.tiff
5,\\aibsdata\aics\AssayDevelopment\MicroscopyData\Sue\20160705,20160705_S03_007.czi,0.065,0.29,1,3,2,4,1,\\aibsdata\aics\AssayDevelopment\Analysis\toAnimatedCell\2016_08_12_Nuc_Cell_Seg_3cell_lines\20160705_S03_tub,20160705_S03_007.czi_nucWholeIndex.tiff,20160705_S03_007.czi_cellWholeIndex.tiff
6,\\aibsdata\aics\AssayDevelopment\MicroscopyData\Sue\20160705,20160705_S03_008.czi,0.065,0.29,1,3,2,4,1,\\aibsdata\aics\AssayDevelopment\Analysis\toAnimatedCell\2016_08_12_Nuc_Cell_Seg_3cell_lines\20160705_S03_tub,20160705_S03_008.czi_nucWholeIndex.tiff,20160705_S03_008.czi_cellWholeIndex.tiff
7,\\aibsdata\aics\AssayDevelopment\MicroscopyData\Sue\20160705,20160705_S03_009.czi,0.065,0.29,1,3,2,4,1,\\aibsdata\aics\AssayDevelopment\Analysis\toAnimatedCell\2016_08_12_Nuc_Cell_Seg_3cell_lines\20160705_S03_tub,20160705_S03_009.czi_nucWholeIndex.tiff,20160705_S03_009.czi_cellWholeIndex.tiff
8,\\aibsdata\aics\AssayDevelopment\MicroscopyData\Sue\20160705,20160705_S03_010.czi,0.065,0.29,1,3,2,4,1,\\aibsdata\aics\AssayDevelopment\Analysis\toAnimatedCell\2016_08_12_Nuc_Cell_Seg_3cell_lines\20160705_S03_tub,20160705_S03_010.czi_nucWholeIndex.tiff,20160705_S03_010.czi_cellWholeIndex.tiff
9,\\aibsdata\aics\AssayDevelopment\MicroscopyData\Sue\20160705,20160705_S03_012.czi,0.065,0.29,1,3,2,4,1,\\aibsdata\aics\AssayDevelopment\Analysis\toAnimatedCell\2016_08_12_Nuc_Cell_Seg_3cell_lines\20160705_S03_tub,20160705_S03_012.czi_nucWholeIndex.tiff,20160705_S03_012.czi_cellWholeIndex.tiff
10,\\aibsdata\aics\AssayDevelopment\MicroscopyData\Sue\20160705,20160705_S03_014.czi,0.065,0.29,1,3,2,4,1,\\aibsdata\aics\AssayDevelopment\Analysis\toAnimatedCell\2016_08_12_Nuc_Cell_Seg_3cell_lines\20160705_S03_tub,20160705_S03_014.czi_nucWholeIndex.tiff,20160705_S03_014.czi_cellWholeIndex.tiff
