Index,DeliveryDate,Version,inputFolder,inputFilename,imageXyPixelSize,imageZPixelSize,memChannel,nucChannel,structureChannel,structureProteinName,lightChannel,timePoint,outputSegmentationPath,outputNucSegWholeFilename,outputCellSegWholeFilename,outputCellSegIndex,SegmentationXyPixelSize,SegmentationZPixelSize,outputNucSegWholeSegScaleFilename,outputCellSegWholeSegScaleFilename,structureSegOutputFolder,structureSegOutputFilename,structureSegContourFilename,structureSegSegScaleOutputFilename,structureSegSegScaleContourFilename,StructureSegmentationMethod,outputSegmentationContourPath,outputNucSegContourFilename,outputCellSegContourFilename,outputNucSegContourSegScaleFilename,outputCellSegContourSegScaleFilename
1,2016_11_08,2.2,\\aibsdata\aics\AssayDevelopment\MicroscopyData\Sue\2016\20160705,20160705_S03_001.czi,0.065,0.29,1,3,2,Alpha tubulin,4,1,\\aibsdata\aics\AssayDevelopment\Analysis\toAnimatedCell\2016_11_08_Nuc_Cell_Seg_8_cell_lines_V22\20160705_S03\nuc_cell_segmentation,20160705_S03_001.czi_nucWholeIndex.tiff,20160705_S03_001.czi_cellWholeIndex.tiff,01;02;05;06;,0.065,0.29,20160705_S03_001.czi_nucWholeIndex.tiff,20160705_S03_001.czi_cellWholeIndex.tiff,\\aibsdata\aics\AssayDevelopment\Analysis\toAnimatedCell\2017_03_08_Struct_First_Pass_Seg\20160705_S03\structure_segmentation,20160705_S03_001_structSegment.tiff,20160705_S03_001_structContour.tiff,20160705_S03_001_structSegment.tiff,20160705_S03_001_structContour.tiff,MitoGraph,\\aibsdata\aics\AssayDevelopment\Analysis\toAnimatedCell\2017_03_08_Struct_First_Pass_Seg\20160705_S03\nuc_cell_contour,20160705_S03_001.czi_nucSegScaleContourXY.tiff,20160705_S03_001.czi_cellSegScaleContourXY.tiff,20160705_S03_001.czi_nucSegScaleContourXY.tiff,20160705_S03_001.czi_cellSegScaleContourXY.tiff
2,2016_11_08,2.2,\\aibsdata\aics\AssayDevelopment\MicroscopyData\Sue\2016\20160705,20160705_S03_002.czi,0.065,0.29,1,3,2,Alpha tubulin,4,1,\\aibsdata\aics\AssayDevelopment\Analysis\toAnimatedCell\2016_11_08_Nuc_Cell_Seg_8_cell_lines_V22\20160705_S03\nuc_cell_segmentation,20160705_S03_002.czi_nucWholeIndex.tiff,20160705_S03_002.czi_cellWholeIndex.tiff,02;04;05;06;07;08;,0.065,0.29,20160705_S03_002.czi_nucWholeIndex.tiff,20160705_S03_002.czi_cellWholeIndex.tiff,\\aibsdata\aics\AssayDevelopment\Analysis\toAnimatedCell\2017_03_08_Struct_First_Pass_Seg\20160705_S03\structure_segmentation,20160705_S03_002_structSegment.tiff,20160705_S03_002_structContour.tiff,20160705_S03_002_structSegment.tiff,20160705_S03_002_structContour.tiff,MitoGraph,\\aibsdata\aics\AssayDevelopment\Analysis\toAnimatedCell\2017_03_08_Struct_First_Pass_Seg\20160705_S03\nuc_cell_contour,20160705_S03_002.czi_nucSegScaleContourXY.tiff,20160705_S03_002.czi_cellSegScaleContourXY.tiff,20160705_S03_002.czi_nucSegScaleContourXY.tiff,20160705_S03_002.czi_cellSegScaleContourXY.tiff
3,2016_11_08,2.2,\\aibsdata\aics\AssayDevelopment\MicroscopyData\Sue\2016\20160705,20160705_S03_003.czi,0.065,0.29,1,3,2,Alpha tubulin,4,1,\\aibsdata\aics\AssayDevelopment\Analysis\toAnimatedCell\2016_11_08_Nuc_Cell_Seg_8_cell_lines_V22\20160705_S03\nuc_cell_segmentation,20160705_S03_003.czi_nucWholeIndex.tiff,20160705_S03_003.czi_cellWholeIndex.tiff,01;02;03;04;05;06;07;08;,0.065,0.29,20160705_S03_003.czi_nucWholeIndex.tiff,20160705_S03_003.czi_cellWholeIndex.tiff,\\aibsdata\aics\AssayDevelopment\Analysis\toAnimatedCell\2017_03_08_Struct_First_Pass_Seg\20160705_S03\structure_segmentation,20160705_S03_003_structSegment.tiff,20160705_S03_003_structContour.tiff,20160705_S03_003_structSegment.tiff,20160705_S03_003_structContour.tiff,MitoGraph,\\aibsdata\aics\AssayDevelopment\Analysis\toAnimatedCell\2017_03_08_Struct_First_Pass_Seg\20160705_S03\nuc_cell_contour,20160705_S03_003.czi_nucSegScaleContourXY.tiff,20160705_S03_003.czi_cellSegScaleContourXY.tiff,20160705_S03_003.czi_nucSegScaleContourXY.tiff,20160705_S03_003.czi_cellSegScaleContourXY.tiff
4,2016_11_08,2.2,\\aibsdata\aics\AssayDevelopment\MicroscopyData\Sue\2016\20160705,20160705_S03_004.czi,0.065,0.29,1,3,2,Alpha tubulin,4,1,\\aibsdata\aics\AssayDevelopment\Analysis\toAnimatedCell\2016_11_08_Nuc_Cell_Seg_8_cell_lines_V22\20160705_S03\nuc_cell_segmentation,20160705_S03_004.czi_nucWholeIndex.tiff,20160705_S03_004.czi_cellWholeIndex.tiff,02;03;04;12;,0.065,0.29,20160705_S03_004.czi_nucWholeIndex.tiff,20160705_S03_004.czi_cellWholeIndex.tiff,\\aibsdata\aics\AssayDevelopment\Analysis\toAnimatedCell\2017_03_08_Struct_First_Pass_Seg\20160705_S03\structure_segmentation,20160705_S03_004_structSegment.tiff,20160705_S03_004_structContour.tiff,20160705_S03_004_structSegment.tiff,20160705_S03_004_structContour.tiff,MitoGraph,\\aibsdata\aics\AssayDevelopment\Analysis\toAnimatedCell\2017_03_08_Struct_First_Pass_Seg\20160705_S03\nuc_cell_contour,20160705_S03_004.czi_nucSegScaleContourXY.tiff,20160705_S03_004.czi_cellSegScaleContourXY.tiff,20160705_S03_004.czi_nucSegScaleContourXY.tiff,20160705_S03_004.czi_cellSegScaleContourXY.tiff
5,2016_11_08,2.2,\\aibsdata\aics\AssayDevelopment\MicroscopyData\Sue\2016\20160705,20160705_S03_005.czi,0.065,0.29,1,3,2,Alpha tubulin,4,1,\\aibsdata\aics\AssayDevelopment\Analysis\toAnimatedCell\2016_11_08_Nuc_Cell_Seg_8_cell_lines_V22\20160705_S03\nuc_cell_segmentation,20160705_S03_005.czi_nucWholeIndex.tiff,20160705_S03_005.czi_cellWholeIndex.tiff,01;02;03;04;05;06;07;08;,0.065,0.29,20160705_S03_005.czi_nucWholeIndex.tiff,20160705_S03_005.czi_cellWholeIndex.tiff,\\aibsdata\aics\AssayDevelopment\Analysis\toAnimatedCell\2017_03_08_Struct_First_Pass_Seg\20160705_S03\structure_segmentation,20160705_S03_005_structSegment.tiff,20160705_S03_005_structContour.tiff,20160705_S03_005_structSegment.tiff,20160705_S03_005_structContour.tiff,MitoGraph,\\aibsdata\aics\AssayDevelopment\Analysis\toAnimatedCell\2017_03_08_Struct_First_Pass_Seg\20160705_S03\nuc_cell_contour,20160705_S03_005.czi_nucSegScaleContourXY.tiff,20160705_S03_005.czi_cellSegScaleContourXY.tiff,20160705_S03_005.czi_nucSegScaleContourXY.tiff,20160705_S03_005.czi_cellSegScaleContourXY.tiff
6,2016_11_08,2.2,\\aibsdata\aics\AssayDevelopment\MicroscopyData\Sue\2016\20160705,20160705_S03_006.czi,0.065,0.29,1,3,2,Alpha tubulin,4,1,\\aibsdata\aics\AssayDevelopment\Analysis\toAnimatedCell\2016_11_08_Nuc_Cell_Seg_8_cell_lines_V22\20160705_S03\nuc_cell_segmentation,20160705_S03_006.czi_nucWholeIndex.tiff,20160705_S03_006.czi_cellWholeIndex.tiff,01;02;03;04;,0.065,0.29,20160705_S03_006.czi_nucWholeIndex.tiff,20160705_S03_006.czi_cellWholeIndex.tiff,\\aibsdata\aics\AssayDevelopment\Analysis\toAnimatedCell\2017_03_08_Struct_First_Pass_Seg\20160705_S03\structure_segmentation,20160705_S03_006_structSegment.tiff,20160705_S03_006_structContour.tiff,20160705_S03_006_structSegment.tiff,20160705_S03_006_structContour.tiff,MitoGraph,\\aibsdata\aics\AssayDevelopment\Analysis\toAnimatedCell\2017_03_08_Struct_First_Pass_Seg\20160705_S03\nuc_cell_contour,20160705_S03_006.czi_nucSegScaleContourXY.tiff,20160705_S03_006.czi_cellSegScaleContourXY.tiff,20160705_S03_006.czi_nucSegScaleContourXY.tiff,20160705_S03_006.czi_cellSegScaleContourXY.tiff
7,2016_11_08,2.2,\\aibsdata\aics\AssayDevelopment\MicroscopyData\Sue\2016\20160705,20160705_S03_007.czi,0.065,0.29,1,3,2,Alpha tubulin,4,1,\\aibsdata\aics\AssayDevelopment\Analysis\toAnimatedCell\2016_11_08_Nuc_Cell_Seg_8_cell_lines_V22\20160705_S03\nuc_cell_segmentation,20160705_S03_007.czi_nucWholeIndex.tiff,20160705_S03_007.czi_cellWholeIndex.tiff,01;02;03;04;05;06;07;,0.065,0.29,20160705_S03_007.czi_nucWholeIndex.tiff,20160705_S03_007.czi_cellWholeIndex.tiff,\\aibsdata\aics\AssayDevelopment\Analysis\toAnimatedCell\2017_03_08_Struct_First_Pass_Seg\20160705_S03\structure_segmentation,20160705_S03_007_structSegment.tiff,20160705_S03_007_structContour.tiff,20160705_S03_007_structSegment.tiff,20160705_S03_007_structContour.tiff,MitoGraph,\\aibsdata\aics\AssayDevelopment\Analysis\toAnimatedCell\2017_03_08_Struct_First_Pass_Seg\20160705_S03\nuc_cell_contour,20160705_S03_007.czi_nucSegScaleContourXY.tiff,20160705_S03_007.czi_cellSegScaleContourXY.tiff,20160705_S03_007.czi_nucSegScaleContourXY.tiff,20160705_S03_007.czi_cellSegScaleContourXY.tiff
8,2016_11_08,2.2,\\aibsdata\aics\AssayDevelopment\MicroscopyData\Sue\2016\20160705,20160705_S03_008.czi,0.065,0.29,1,3,2,Alpha tubulin,4,1,\\aibsdata\aics\AssayDevelopment\Analysis\toAnimatedCell\2016_11_08_Nuc_Cell_Seg_8_cell_lines_V22\20160705_S03\nuc_cell_segmentation,20160705_S03_008.czi_nucWholeIndex.tiff,20160705_S03_008.czi_cellWholeIndex.tiff,01;02;03;04;05;06;07;08;09;10;,0.065,0.29,20160705_S03_008.czi_nucWholeIndex.tiff,20160705_S03_008.czi_cellWholeIndex.tiff,\\aibsdata\aics\AssayDevelopment\Analysis\toAnimatedCell\2017_03_08_Struct_First_Pass_Seg\20160705_S03\structure_segmentation,20160705_S03_008_structSegment.tiff,20160705_S03_008_structContour.tiff,20160705_S03_008_structSegment.tiff,20160705_S03_008_structContour.tiff,MitoGraph,\\aibsdata\aics\AssayDevelopment\Analysis\toAnimatedCell\2017_03_08_Struct_First_Pass_Seg\20160705_S03\nuc_cell_contour,20160705_S03_008.czi_nucSegScaleContourXY.tiff,20160705_S03_008.czi_cellSegScaleContourXY.tiff,20160705_S03_008.czi_nucSegScaleContourXY.tiff,20160705_S03_008.czi_cellSegScaleContourXY.tiff
9,2016_11_08,2.2,\\aibsdata\aics\AssayDevelopment\MicroscopyData\Sue\2016\20160705,20160705_S03_009.czi,0.065,0.29,1,3,2,Alpha tubulin,4,1,\\aibsdata\aics\AssayDevelopment\Analysis\toAnimatedCell\2016_11_08_Nuc_Cell_Seg_8_cell_lines_V22\20160705_S03\nuc_cell_segmentation,20160705_S03_009.czi_nucWholeIndex.tiff,20160705_S03_009.czi_cellWholeIndex.tiff,02;03;04;05;06;,0.065,0.29,20160705_S03_009.czi_nucWholeIndex.tiff,20160705_S03_009.czi_cellWholeIndex.tiff,\\aibsdata\aics\AssayDevelopment\Analysis\toAnimatedCell\2017_03_08_Struct_First_Pass_Seg\20160705_S03\structure_segmentation,20160705_S03_009_structSegment.tiff,20160705_S03_009_structContour.tiff,20160705_S03_009_structSegment.tiff,20160705_S03_009_structContour.tiff,MitoGraph,\\aibsdata\aics\AssayDevelopment\Analysis\toAnimatedCell\2017_03_08_Struct_First_Pass_Seg\20160705_S03\nuc_cell_contour,20160705_S03_009.czi_nucSegScaleContourXY.tiff,20160705_S03_009.czi_cellSegScaleContourXY.tiff,20160705_S03_009.czi_nucSegScaleContourXY.tiff,20160705_S03_009.czi_cellSegScaleContourXY.tiff
10,2016_11_08,2.2,\\aibsdata\aics\AssayDevelopment\MicroscopyData\Sue\2016\20160705,20160705_S03_010.czi,0.065,0.29,1,3,2,Alpha tubulin,4,1,\\aibsdata\aics\AssayDevelopment\Analysis\toAnimatedCell\2016_11_08_Nuc_Cell_Seg_8_cell_lines_V22\20160705_S03\nuc_cell_segmentation,20160705_S03_010.czi_nucWholeIndex.tiff,20160705_S03_010.czi_cellWholeIndex.tiff,01;02;03;04;05;06;,0.065,0.29,20160705_S03_010.czi_nucWholeIndex.tiff,20160705_S03_010.czi_cellWholeIndex.tiff,\\aibsdata\aics\AssayDevelopment\Analysis\toAnimatedCell\2017_03_08_Struct_First_Pass_Seg\20160705_S03\structure_segmentation,20160705_S03_010_structSegment.tiff,20160705_S03_010_structContour.tiff,20160705_S03_010_structSegment.tiff,20160705_S03_010_structContour.tiff,MitoGraph,\\aibsdata\aics\AssayDevelopment\Analysis\toAnimatedCell\2017_03_08_Struct_First_Pass_Seg\20160705_S03\nuc_cell_contour,20160705_S03_010.czi_nucSegScaleContourXY.tiff,20160705_S03_010.czi_cellSegScaleContourXY.tiff,20160705_S03_010.czi_nucSegScaleContourXY.tiff,20160705_S03_010.czi_cellSegScaleContourXY.tiff
