Index,DeliveryDate,Version,inputFolder,inputFilename,imageXyPixelSize,imageZPixelSize,memChannel,nucChannel,structureChannel,structureProteinName,lightChannel,timePoint,outputSegmentationPath,outputNucSegWholeFilename,outputCellSegWholeFilename,outputCellSegIndex,SegmentationXyPixelSize,SegmentationZPixelSize,outputNucSegWholeSegScaleFilename,outputCellSegWholeSegScaleFilename,structureSegOutputFolder,structureSegOutputFilename,structureSegContourFilename,structureSegSegScaleOutputFilename,structureSegSegScaleContourFilename,StructureSegmentationMethod,outputSegmentationContourPath,outputNucSegContourFilename,outputCellSegContourFilename,outputNucSegContourSegScaleFilename,outputCellSegContourSegScaleFilename
1,2017_02_10,3,\\aibsdata\aics\Microscopy\PRODUCTION\PIPELINE_3_Minipipeline\3500000490\ZSD3\100X_zstack,3500000490_100X_20170127_E05_P03.czi,0.108,0.29,2,6,4,Lamin B1,7,1,\\aibsdata\aics\AssayDevelopment\Analysis\toAnimatedCell\2017_02_10_Nuc_Cell_Seg_For_Release_Group_1\3500000490\nuc_cell_segmentation,3500000490_100X_20170127_E05_P03.czi_nucWholeIndexImageScale.tiff,3500000490_100X_20170127_E05_P03.czi_cellWholeIndexImageScale.tiff,1;,0.065,0.29,3500000490_100X_20170127_E05_P03.czi_nucWholeIndexSegScale.tiff,3500000490_100X_20170127_E05_P03.czi_cellWholeIndexSegScale.tiff,\\aibsdata\aics\AssayDevelopment\Analysis\toAnimatedCell\2017_03_08_Struct_First_Pass_Seg\3500000490\structure_segmentation,3500000490_100X_20170127_E05_P03_structImageScaleSegment.tiff,3500000490_100X_20170127_E05_P03_structImageScaleContour.tiff,3500000490_100X_20170127_E05_P03_structSegScaleSegment.tiff,3500000490_100X_20170127_E05_P03_structSegScaleContour.tiff,ALN2.5+LevelSet/Watershed,\\aibsdata\aics\AssayDevelopment\Analysis\toAnimatedCell\2017_03_08_Struct_First_Pass_Seg\3500000490\nuc_cell_contour,3500000490_100X_20170127_E05_P03.czi_nucImageScaleContourXY.tiff,3500000490_100X_20170127_E05_P03.czi_cellImageScaleContourXY.tiff,3500000490_100X_20170127_E05_P03.czi_nucSegScaleContourXY.tiff,3500000490_100X_20170127_E05_P03.czi_cellSegScaleContourXY.tiff
2,2017_02_10,3,\\aibsdata\aics\Microscopy\PRODUCTION\PIPELINE_3_Minipipeline\3500000490\ZSD3\100X_zstack,3500000490_100X_20170127_E05_P04.czi,0.108,0.29,2,6,4,Lamin B1,7,1,\\aibsdata\aics\AssayDevelopment\Analysis\toAnimatedCell\2017_02_10_Nuc_Cell_Seg_For_Release_Group_1\3500000490\nuc_cell_segmentation,3500000490_100X_20170127_E05_P04.czi_nucWholeIndexImageScale.tiff,3500000490_100X_20170127_E05_P04.czi_cellWholeIndexImageScale.tiff,1;2;3;,0.065,0.29,3500000490_100X_20170127_E05_P04.czi_nucWholeIndexSegScale.tiff,3500000490_100X_20170127_E05_P04.czi_cellWholeIndexSegScale.tiff,\\aibsdata\aics\AssayDevelopment\Analysis\toAnimatedCell\2017_03_08_Struct_First_Pass_Seg\3500000490\structure_segmentation,3500000490_100X_20170127_E05_P04_structImageScaleSegment.tiff,3500000490_100X_20170127_E05_P04_structImageScaleContour.tiff,3500000490_100X_20170127_E05_P04_structSegScaleSegment.tiff,3500000490_100X_20170127_E05_P04_structSegScaleContour.tiff,ALN2.5+LevelSet/Watershed,\\aibsdata\aics\AssayDevelopment\Analysis\toAnimatedCell\2017_03_08_Struct_First_Pass_Seg\3500000490\nuc_cell_contour,3500000490_100X_20170127_E05_P04.czi_nucImageScaleContourXY.tiff,3500000490_100X_20170127_E05_P04.czi_cellImageScaleContourXY.tiff,3500000490_100X_20170127_E05_P04.czi_nucSegScaleContourXY.tiff,3500000490_100X_20170127_E05_P04.czi_cellSegScaleContourXY.tiff
3,2017_02_10,3,\\aibsdata\aics\Microscopy\PRODUCTION\PIPELINE_3_Minipipeline\3500000490\ZSD3\100X_zstack,3500000490_100X_20170127_E05_P05.czi,0.108,0.29,2,6,4,Lamin B1,7,1,\\aibsdata\aics\AssayDevelopment\Analysis\toAnimatedCell\2017_02_10_Nuc_Cell_Seg_For_Release_Group_1\3500000490\nuc_cell_segmentation,3500000490_100X_20170127_E05_P05.czi_nucWholeIndexImageScale.tiff,3500000490_100X_20170127_E05_P05.czi_cellWholeIndexImageScale.tiff,1;2;,0.065,0.29,3500000490_100X_20170127_E05_P05.czi_nucWholeIndexSegScale.tiff,3500000490_100X_20170127_E05_P05.czi_cellWholeIndexSegScale.tiff,\\aibsdata\aics\AssayDevelopment\Analysis\toAnimatedCell\2017_03_08_Struct_First_Pass_Seg\3500000490\structure_segmentation,3500000490_100X_20170127_E05_P05_structImageScaleSegment.tiff,3500000490_100X_20170127_E05_P05_structImageScaleContour.tiff,3500000490_100X_20170127_E05_P05_structSegScaleSegment.tiff,3500000490_100X_20170127_E05_P05_structSegScaleContour.tiff,ALN2.5+LevelSet/Watershed,\\aibsdata\aics\AssayDevelopment\Analysis\toAnimatedCell\2017_03_08_Struct_First_Pass_Seg\3500000490\nuc_cell_contour,3500000490_100X_20170127_E05_P05.czi_nucImageScaleContourXY.tiff,3500000490_100X_20170127_E05_P05.czi_cellImageScaleContourXY.tiff,3500000490_100X_20170127_E05_P05.czi_nucSegScaleContourXY.tiff,3500000490_100X_20170127_E05_P05.czi_cellSegScaleContourXY.tiff
4,2017_02_10,3,\\aibsdata\aics\Microscopy\PRODUCTION\PIPELINE_3_Minipipeline\3500000490\ZSD3\100X_zstack,3500000490_100X_20170127_E05_P06.czi,0.108,0.29,2,6,4,Lamin B1,7,1,\\aibsdata\aics\AssayDevelopment\Analysis\toAnimatedCell\2017_02_10_Nuc_Cell_Seg_For_Release_Group_1\3500000490\nuc_cell_segmentation,3500000490_100X_20170127_E05_P06.czi_nucWholeIndexImageScale.tiff,3500000490_100X_20170127_E05_P06.czi_cellWholeIndexImageScale.tiff,1;2;,0.065,0.29,3500000490_100X_20170127_E05_P06.czi_nucWholeIndexSegScale.tiff,3500000490_100X_20170127_E05_P06.czi_cellWholeIndexSegScale.tiff,\\aibsdata\aics\AssayDevelopment\Analysis\toAnimatedCell\2017_03_08_Struct_First_Pass_Seg\3500000490\structure_segmentation,3500000490_100X_20170127_E05_P06_structImageScaleSegment.tiff,3500000490_100X_20170127_E05_P06_structImageScaleContour.tiff,3500000490_100X_20170127_E05_P06_structSegScaleSegment.tiff,3500000490_100X_20170127_E05_P06_structSegScaleContour.tiff,ALN2.5+LevelSet/Watershed,\\aibsdata\aics\AssayDevelopment\Analysis\toAnimatedCell\2017_03_08_Struct_First_Pass_Seg\3500000490\nuc_cell_contour,3500000490_100X_20170127_E05_P06.czi_nucImageScaleContourXY.tiff,3500000490_100X_20170127_E05_P06.czi_cellImageScaleContourXY.tiff,3500000490_100X_20170127_E05_P06.czi_nucSegScaleContourXY.tiff,3500000490_100X_20170127_E05_P06.czi_cellSegScaleContourXY.tiff
5,2017_02_10,3,\\aibsdata\aics\Microscopy\PRODUCTION\PIPELINE_3_Minipipeline\3500000490\ZSD3\100X_zstack,3500000490_100X_20170127_E05_P07.czi,0.108,0.29,2,6,4,Lamin B1,7,1,\\aibsdata\aics\AssayDevelopment\Analysis\toAnimatedCell\2017_02_10_Nuc_Cell_Seg_For_Release_Group_1\3500000490\nuc_cell_segmentation,3500000490_100X_20170127_E05_P07.czi_nucWholeIndexImageScale.tiff,3500000490_100X_20170127_E05_P07.czi_cellWholeIndexImageScale.tiff,2;3;,0.065,0.29,3500000490_100X_20170127_E05_P07.czi_nucWholeIndexSegScale.tiff,3500000490_100X_20170127_E05_P07.czi_cellWholeIndexSegScale.tiff,\\aibsdata\aics\AssayDevelopment\Analysis\toAnimatedCell\2017_03_08_Struct_First_Pass_Seg\3500000490\structure_segmentation,3500000490_100X_20170127_E05_P07_structImageScaleSegment.tiff,3500000490_100X_20170127_E05_P07_structImageScaleContour.tiff,3500000490_100X_20170127_E05_P07_structSegScaleSegment.tiff,3500000490_100X_20170127_E05_P07_structSegScaleContour.tiff,ALN2.5+LevelSet/Watershed,\\aibsdata\aics\AssayDevelopment\Analysis\toAnimatedCell\2017_03_08_Struct_First_Pass_Seg\3500000490\nuc_cell_contour,3500000490_100X_20170127_E05_P07.czi_nucImageScaleContourXY.tiff,3500000490_100X_20170127_E05_P07.czi_cellImageScaleContourXY.tiff,3500000490_100X_20170127_E05_P07.czi_nucSegScaleContourXY.tiff,3500000490_100X_20170127_E05_P07.czi_cellSegScaleContourXY.tiff
6,2017_02_10,3,\\aibsdata\aics\Microscopy\PRODUCTION\PIPELINE_3_Minipipeline\3500000490\ZSD3\100X_zstack,3500000490_100X_20170127_E06_P10.czi,0.108,0.29,2,6,4,Lamin B1,7,1,\\aibsdata\aics\AssayDevelopment\Analysis\toAnimatedCell\2017_02_10_Nuc_Cell_Seg_For_Release_Group_1\3500000490\nuc_cell_segmentation,3500000490_100X_20170127_E06_P10.czi_nucWholeIndexImageScale.tiff,3500000490_100X_20170127_E06_P10.czi_cellWholeIndexImageScale.tiff,1;,0.065,0.29,3500000490_100X_20170127_E06_P10.czi_nucWholeIndexSegScale.tiff,3500000490_100X_20170127_E06_P10.czi_cellWholeIndexSegScale.tiff,\\aibsdata\aics\AssayDevelopment\Analysis\toAnimatedCell\2017_03_08_Struct_First_Pass_Seg\3500000490\structure_segmentation,3500000490_100X_20170127_E06_P10_structImageScaleSegment.tiff,3500000490_100X_20170127_E06_P10_structImageScaleContour.tiff,3500000490_100X_20170127_E06_P10_structSegScaleSegment.tiff,3500000490_100X_20170127_E06_P10_structSegScaleContour.tiff,ALN2.5+LevelSet/Watershed,\\aibsdata\aics\AssayDevelopment\Analysis\toAnimatedCell\2017_03_08_Struct_First_Pass_Seg\3500000490\nuc_cell_contour,3500000490_100X_20170127_E06_P10.czi_nucImageScaleContourXY.tiff,3500000490_100X_20170127_E06_P10.czi_cellImageScaleContourXY.tiff,3500000490_100X_20170127_E06_P10.czi_nucSegScaleContourXY.tiff,3500000490_100X_20170127_E06_P10.czi_cellSegScaleContourXY.tiff
7,2017_02_10,3,\\aibsdata\aics\Microscopy\PRODUCTION\PIPELINE_3_Minipipeline\3500000490\ZSD3\100X_zstack,3500000490_100X_20170127_E06_P12.czi,0.108,0.29,2,6,4,Lamin B1,7,1,\\aibsdata\aics\AssayDevelopment\Analysis\toAnimatedCell\2017_02_10_Nuc_Cell_Seg_For_Release_Group_1\3500000490\nuc_cell_segmentation,3500000490_100X_20170127_E06_P12.czi_nucWholeIndexImageScale.tiff,3500000490_100X_20170127_E06_P12.czi_cellWholeIndexImageScale.tiff,2;3;4;,0.065,0.29,3500000490_100X_20170127_E06_P12.czi_nucWholeIndexSegScale.tiff,3500000490_100X_20170127_E06_P12.czi_cellWholeIndexSegScale.tiff,\\aibsdata\aics\AssayDevelopment\Analysis\toAnimatedCell\2017_03_08_Struct_First_Pass_Seg\3500000490\structure_segmentation,3500000490_100X_20170127_E06_P12_structImageScaleSegment.tiff,3500000490_100X_20170127_E06_P12_structImageScaleContour.tiff,3500000490_100X_20170127_E06_P12_structSegScaleSegment.tiff,3500000490_100X_20170127_E06_P12_structSegScaleContour.tiff,ALN2.5+LevelSet/Watershed,\\aibsdata\aics\AssayDevelopment\Analysis\toAnimatedCell\2017_03_08_Struct_First_Pass_Seg\3500000490\nuc_cell_contour,3500000490_100X_20170127_E06_P12.czi_nucImageScaleContourXY.tiff,3500000490_100X_20170127_E06_P12.czi_cellImageScaleContourXY.tiff,3500000490_100X_20170127_E06_P12.czi_nucSegScaleContourXY.tiff,3500000490_100X_20170127_E06_P12.czi_cellSegScaleContourXY.tiff
8,2017_02_10,3,\\aibsdata\aics\Microscopy\PRODUCTION\PIPELINE_3_Minipipeline\3500000490\ZSD3\100X_zstack,3500000490_100X_20170127_E06_P13.czi,0.108,0.29,2,6,4,Lamin B1,7,1,\\aibsdata\aics\AssayDevelopment\Analysis\toAnimatedCell\2017_02_10_Nuc_Cell_Seg_For_Release_Group_1\3500000490\nuc_cell_segmentation,3500000490_100X_20170127_E06_P13.czi_nucWholeIndexImageScale.tiff,3500000490_100X_20170127_E06_P13.czi_cellWholeIndexImageScale.tiff,3;4;,0.065,0.29,3500000490_100X_20170127_E06_P13.czi_nucWholeIndexSegScale.tiff,3500000490_100X_20170127_E06_P13.czi_cellWholeIndexSegScale.tiff,\\aibsdata\aics\AssayDevelopment\Analysis\toAnimatedCell\2017_03_08_Struct_First_Pass_Seg\3500000490\structure_segmentation,3500000490_100X_20170127_E06_P13_structImageScaleSegment.tiff,3500000490_100X_20170127_E06_P13_structImageScaleContour.tiff,3500000490_100X_20170127_E06_P13_structSegScaleSegment.tiff,3500000490_100X_20170127_E06_P13_structSegScaleContour.tiff,ALN2.5+LevelSet/Watershed,\\aibsdata\aics\AssayDevelopment\Analysis\toAnimatedCell\2017_03_08_Struct_First_Pass_Seg\3500000490\nuc_cell_contour,3500000490_100X_20170127_E06_P13.czi_nucImageScaleContourXY.tiff,3500000490_100X_20170127_E06_P13.czi_cellImageScaleContourXY.tiff,3500000490_100X_20170127_E06_P13.czi_nucSegScaleContourXY.tiff,3500000490_100X_20170127_E06_P13.czi_cellSegScaleContourXY.tiff
9,2017_02_10,3,\\aibsdata\aics\Microscopy\PRODUCTION\PIPELINE_3_Minipipeline\3500000490\ZSD3\100X_zstack,3500000490_100X_20170127_E06_P14.czi,0.108,0.29,2,6,4,Lamin B1,7,1,\\aibsdata\aics\AssayDevelopment\Analysis\toAnimatedCell\2017_02_10_Nuc_Cell_Seg_For_Release_Group_1\3500000490\nuc_cell_segmentation,3500000490_100X_20170127_E06_P14.czi_nucWholeIndexImageScale.tiff,3500000490_100X_20170127_E06_P14.czi_cellWholeIndexImageScale.tiff,2;,0.065,0.29,3500000490_100X_20170127_E06_P14.czi_nucWholeIndexSegScale.tiff,3500000490_100X_20170127_E06_P14.czi_cellWholeIndexSegScale.tiff,\\aibsdata\aics\AssayDevelopment\Analysis\toAnimatedCell\2017_03_08_Struct_First_Pass_Seg\3500000490\structure_segmentation,3500000490_100X_20170127_E06_P14_structImageScaleSegment.tiff,3500000490_100X_20170127_E06_P14_structImageScaleContour.tiff,3500000490_100X_20170127_E06_P14_structSegScaleSegment.tiff,3500000490_100X_20170127_E06_P14_structSegScaleContour.tiff,ALN2.5+LevelSet/Watershed,\\aibsdata\aics\AssayDevelopment\Analysis\toAnimatedCell\2017_03_08_Struct_First_Pass_Seg\3500000490\nuc_cell_contour,3500000490_100X_20170127_E06_P14.czi_nucImageScaleContourXY.tiff,3500000490_100X_20170127_E06_P14.czi_cellImageScaleContourXY.tiff,3500000490_100X_20170127_E06_P14.czi_nucSegScaleContourXY.tiff,3500000490_100X_20170127_E06_P14.czi_cellSegScaleContourXY.tiff
10,2017_02_10,3,\\aibsdata\aics\Microscopy\PRODUCTION\PIPELINE_3_Minipipeline\3500000490\ZSD3\100X_zstack,3500000490_100X_20170127_E06_P15.czi,0.108,0.29,2,6,4,Lamin B1,7,1,\\aibsdata\aics\AssayDevelopment\Analysis\toAnimatedCell\2017_02_10_Nuc_Cell_Seg_For_Release_Group_1\3500000490\nuc_cell_segmentation,3500000490_100X_20170127_E06_P15.czi_nucWholeIndexImageScale.tiff,3500000490_100X_20170127_E06_P15.czi_cellWholeIndexImageScale.tiff,2;4;,0.065,0.29,3500000490_100X_20170127_E06_P15.czi_nucWholeIndexSegScale.tiff,3500000490_100X_20170127_E06_P15.czi_cellWholeIndexSegScale.tiff,\\aibsdata\aics\AssayDevelopment\Analysis\toAnimatedCell\2017_03_08_Struct_First_Pass_Seg\3500000490\structure_segmentation,3500000490_100X_20170127_E06_P15_structImageScaleSegment.tiff,3500000490_100X_20170127_E06_P15_structImageScaleContour.tiff,3500000490_100X_20170127_E06_P15_structSegScaleSegment.tiff,3500000490_100X_20170127_E06_P15_structSegScaleContour.tiff,ALN2.5+LevelSet/Watershed,\\aibsdata\aics\AssayDevelopment\Analysis\toAnimatedCell\2017_03_08_Struct_First_Pass_Seg\3500000490\nuc_cell_contour,3500000490_100X_20170127_E06_P15.czi_nucImageScaleContourXY.tiff,3500000490_100X_20170127_E06_P15.czi_cellImageScaleContourXY.tiff,3500000490_100X_20170127_E06_P15.czi_nucSegScaleContourXY.tiff,3500000490_100X_20170127_E06_P15.czi_cellSegScaleContourXY.tiff
