im_id,com_x,com_y,com_z,angle_deg,flip_x,flip_y,flip_z
20160705_I01_001_2,182.314350673794,157.035132123767,21.8809666491004,18.4408759683676,0,1,0
20160705_I01_001_3,136.197084477896,184.482816256393,24.2988440769146,37.4291153355312,0,1,0
20160705_I01_001_4,184.337126125841,300.72576277711,20.2326035141007,-85.9242632563032,0,0,0
20160705_I01_001_5,224.299642120271,213.232483556028,22.3065016313785,-41.4960352845302,0,1,0
20160705_I01_001_6,267.623105766269,289.096421900916,22.8612981523186,-48.6567031022692,0,0,0
20160705_I01_002_2,118.72506826976,253.941080543842,27.0516309155063,91.3824542963081,1,1,0
20160705_I01_002_3,253.29586862121,358.226169444744,33.6005007731866,216.813398642976,0,1,0
20160705_I01_002_5,253.274896844819,394.619046012895,29.9815788520324,242.695613106197,0,1,0
20160705_I01_003_1,268.929286307347,176.880147207324,21.4876114393427,11.7068126692474,0,1,0
20160705_I01_003_2,224.428709880329,197.345652769753,22.1916161052493,114.094116247063,0,1,0
20160705_I01_003_3,171.803169659826,135.928525011692,22.7859078353444,197.994085277611,0,1,0
20160705_I01_003_4,316.600452668264,145.946745623658,22.0315516019292,-22.0750353042494,1,1,0
20160705_I01_003_5,224.83978993133,179.210888883671,24.363648257423,155.172406919689,0,0,0
20160705_I01_003_6,212.60204756248,114.386043501545,23.6041251284306,-7.89902993029263,0,1,0
20160705_I01_004_1,209.115853639544,255.501819070966,20.6313032833608,249.990679004298,1,1,0
20160705_I01_004_2,178.86553312924,194.284529175577,22.3962394043352,44.2352641467481,1,0,0
20160705_I01_004_5,189.298299310052,223.42190933112,25.2350258793369,222.533529798782,0,0,0
20160705_I01_004_6,238.137361903711,126.634978781211,25.5209333557809,175.961076883519,0,1,0
20160705_I01_004_7,228.386136920167,154.111970298378,21.7552784051851,177.622397146729,1,0,0
20160705_I01_005_2,224.633183195031,215.017388559751,22.1429217869088,-5.24232592749514,0,1,0
20160705_I01_005_4,195.524497153195,189.108657478848,30.1043939232693,248.49074876696,0,1,0
20160705_I01_005_6,280.507382655901,187.685122970324,29.2228126285562,156.988177666047,0,0,0
20160705_I01_005_7,401.264328095357,230.826797578286,29.951987483277,156.26818311968,0,0,0
20160705_I01_005_11,137.274428325247,133.278114420503,30.7635545886753,143.842073376014,0,0,0
20160705_I01_006_1,213.865743806063,214.802241727643,20.8943193635435,61.127080502946,0,1,0
20160705_I01_006_2,185.883316316675,132.380879715224,19.0220204751787,207.654867847421,0,1,0
20160705_I01_006_3,308.772260937252,184.552835255968,21.5693273668328,13.8864153242113,1,1,0
20160705_I01_006_4,168.093872493379,164.892493378736,24.562623912221,29.3377537990118,0,0,0
20160705_I01_007_1,264.83717996988,231.76992501255,21.4176659764056,-47.2220125776647,0,1,0
20160705_I01_007_2,150.821370626063,154.67447795214,22.9037947410945,108.334410494962,0,1,0
