DeliveryDate,Version,inputFolder,inputFilename,imageXyPixelSize,imageZPixelSize,memChannel,nucChannel,structureChannel,structureProteinName,lightChannel,timePoint,outputSegmentationPath,outputNucSegWholeFilename,outputCellSegWholeFilename,outputCellSegIndex,SegmentationXyPixelSize,SegmentationZPixelSize,outputNucSegWholeSegScaleFilename,outputCellSegWholeSegScaleFilename,structureSegOutputFolder,structureSegOutputFilename
2016_11_08,2.2,\\aibsdata\aics\AssayDevelopment\MicroscopyData\Caroline\2016\20160711,20160711_C01_002.czi,0.065,0.29,1,3,2,Desmoplakin,4,1,\\aibsdata\aics\AssayDevelopment\Analysis\toAnimatedCell\2017_02_10_Nuc_Cell_Seg_For_Release_Group_1\20160711_C01\nuc_cell_segmentation,20160711_C01_002.czi_nucWholeIndex.tiff,20160711_C01_002.czi_cellWholeIndex.tiff,02;03;,0.065,0.29,20160711_C01_002.czi_nucWholeIndex.tiff,20160711_C01_002.czi_cellWholeIndex.tiff,\\aibsdata\aics\AssayDevelopment\Analysis\toAnimatedCell\2017_02_10_Nuc_Cell_Seg_For_Release_Group_1\20160711_C01\structure_segmentation,20160711_C01_002.czi_structSegmentation.tiff
2016_11_08,2.2,\\aibsdata\aics\AssayDevelopment\MicroscopyData\Caroline\2016\20160711,20160711_C01_003.czi,0.065,0.29,1,3,2,Desmoplakin,4,1,\\aibsdata\aics\AssayDevelopment\Analysis\toAnimatedCell\2017_02_10_Nuc_Cell_Seg_For_Release_Group_1\20160711_C01\nuc_cell_segmentation,20160711_C01_003.czi_nucWholeIndex.tiff,20160711_C01_003.czi_cellWholeIndex.tiff,06;,0.065,0.29,20160711_C01_003.czi_nucWholeIndex.tiff,20160711_C01_003.czi_cellWholeIndex.tiff,\\aibsdata\aics\AssayDevelopment\Analysis\toAnimatedCell\2017_02_10_Nuc_Cell_Seg_For_Release_Group_1\20160711_C01\structure_segmentation,20160711_C01_003.czi_structSegmentation.tiff
2016_11_08,2.2,\\aibsdata\aics\AssayDevelopment\MicroscopyData\Caroline\2016\20160711,20160711_C01_004.czi,0.065,0.29,1,3,2,Desmoplakin,4,1,\\aibsdata\aics\AssayDevelopment\Analysis\toAnimatedCell\2017_02_10_Nuc_Cell_Seg_For_Release_Group_1\20160711_C01\nuc_cell_segmentation,20160711_C01_004.czi_nucWholeIndex.tiff,20160711_C01_004.czi_cellWholeIndex.tiff,01;03;05;06;07;,0.065,0.29,20160711_C01_004.czi_nucWholeIndex.tiff,20160711_C01_004.czi_cellWholeIndex.tiff,\\aibsdata\aics\AssayDevelopment\Analysis\toAnimatedCell\2017_02_10_Nuc_Cell_Seg_For_Release_Group_1\20160711_C01\structure_segmentation,20160711_C01_004.czi_structSegmentation.tiff
2016_11_08,2.2,\\aibsdata\aics\AssayDevelopment\MicroscopyData\Caroline\2016\20160711,20160711_C01_005.czi,0.065,0.29,1,3,2,Desmoplakin,4,1,\\aibsdata\aics\AssayDevelopment\Analysis\toAnimatedCell\2017_02_10_Nuc_Cell_Seg_For_Release_Group_1\20160711_C01\nuc_cell_segmentation,20160711_C01_005.czi_nucWholeIndex.tiff,20160711_C01_005.czi_cellWholeIndex.tiff,02;05;06;,0.065,0.29,20160711_C01_005.czi_nucWholeIndex.tiff,20160711_C01_005.czi_cellWholeIndex.tiff,\\aibsdata\aics\AssayDevelopment\Analysis\toAnimatedCell\2017_02_10_Nuc_Cell_Seg_For_Release_Group_1\20160711_C01\structure_segmentation,20160711_C01_005.czi_structSegmentation.tiff
2016_11_08,2.2,\\aibsdata\aics\AssayDevelopment\MicroscopyData\Caroline\2016\20160711,20160711_C01_007.czi,0.065,0.29,1,3,2,Desmoplakin,4,1,\\aibsdata\aics\AssayDevelopment\Analysis\toAnimatedCell\2017_02_10_Nuc_Cell_Seg_For_Release_Group_1\20160711_C01\nuc_cell_segmentation,20160711_C01_007.czi_nucWholeIndex.tiff,20160711_C01_007.czi_cellWholeIndex.tiff,02;03;07;08;,0.065,0.29,20160711_C01_007.czi_nucWholeIndex.tiff,20160711_C01_007.czi_cellWholeIndex.tiff,\\aibsdata\aics\AssayDevelopment\Analysis\toAnimatedCell\2017_02_10_Nuc_Cell_Seg_For_Release_Group_1\20160711_C01\structure_segmentation,20160711_C01_007.czi_structSegmentation.tiff
2016_11_08,2.2,\\aibsdata\aics\AssayDevelopment\MicroscopyData\Caroline\2016\20160711,20160711_C01_008.czi,0.065,0.29,1,3,2,Desmoplakin,4,1,\\aibsdata\aics\AssayDevelopment\Analysis\toAnimatedCell\2017_02_10_Nuc_Cell_Seg_For_Release_Group_1\20160711_C01\nuc_cell_segmentation,20160711_C01_008.czi_nucWholeIndex.tiff,20160711_C01_008.czi_cellWholeIndex.tiff,02;06;08;,0.065,0.29,20160711_C01_008.czi_nucWholeIndex.tiff,20160711_C01_008.czi_cellWholeIndex.tiff,\\aibsdata\aics\AssayDevelopment\Analysis\toAnimatedCell\2017_02_10_Nuc_Cell_Seg_For_Release_Group_1\20160711_C01\structure_segmentation,20160711_C01_008.czi_structSegmentation.tiff
2016_11_08,2.2,\\aibsdata\aics\AssayDevelopment\MicroscopyData\Caroline\2016\20160711,20160711_C01_009.czi,0.065,0.29,1,3,2,Desmoplakin,4,1,\\aibsdata\aics\AssayDevelopment\Analysis\toAnimatedCell\2017_02_10_Nuc_Cell_Seg_For_Release_Group_1\20160711_C01\nuc_cell_segmentation,20160711_C01_009.czi_nucWholeIndex.tiff,20160711_C01_009.czi_cellWholeIndex.tiff,01;07;08;09;,0.065,0.29,20160711_C01_009.czi_nucWholeIndex.tiff,20160711_C01_009.czi_cellWholeIndex.tiff,\\aibsdata\aics\AssayDevelopment\Analysis\toAnimatedCell\2017_02_10_Nuc_Cell_Seg_For_Release_Group_1\20160711_C01\structure_segmentation,20160711_C01_009.czi_structSegmentation.tiff
2016_11_08,2.2,\\aibsdata\aics\AssayDevelopment\MicroscopyData\Caroline\2016\20160711,20160711_C01_011.czi,0.065,0.29,1,3,2,Desmoplakin,4,1,\\aibsdata\aics\AssayDevelopment\Analysis\toAnimatedCell\2017_02_10_Nuc_Cell_Seg_For_Release_Group_1\20160711_C01\nuc_cell_segmentation,20160711_C01_011.czi_nucWholeIndex.tiff,20160711_C01_011.czi_cellWholeIndex.tiff,02;05;06;,0.065,0.29,20160711_C01_011.czi_nucWholeIndex.tiff,20160711_C01_011.czi_cellWholeIndex.tiff,\\aibsdata\aics\AssayDevelopment\Analysis\toAnimatedCell\2017_02_10_Nuc_Cell_Seg_For_Release_Group_1\20160711_C01\structure_segmentation,20160711_C01_011.czi_structSegmentation.tiff
2016_11_08,2.2,\\aibsdata\aics\AssayDevelopment\MicroscopyData\Caroline\2016\20160711,20160711_C01_012.czi,0.065,0.29,1,3,2,Desmoplakin,4,1,\\aibsdata\aics\AssayDevelopment\Analysis\toAnimatedCell\2017_02_10_Nuc_Cell_Seg_For_Release_Group_1\20160711_C01\nuc_cell_segmentation,20160711_C01_012.czi_nucWholeIndex.tiff,20160711_C01_012.czi_cellWholeIndex.tiff,02;,0.065,0.29,20160711_C01_012.czi_nucWholeIndex.tiff,20160711_C01_012.czi_cellWholeIndex.tiff,\\aibsdata\aics\AssayDevelopment\Analysis\toAnimatedCell\2017_02_10_Nuc_Cell_Seg_For_Release_Group_1\20160711_C01\structure_segmentation,20160711_C01_012.czi_structSegmentation.tiff
2016_11_08,2.2,\\aibsdata\aics\AssayDevelopment\MicroscopyData\Caroline\2016\20160711,20160711_C01_013.czi,0.065,0.29,1,3,2,Desmoplakin,4,1,\\aibsdata\aics\AssayDevelopment\Analysis\toAnimatedCell\2017_02_10_Nuc_Cell_Seg_For_Release_Group_1\20160711_C01\nuc_cell_segmentation,20160711_C01_013.czi_nucWholeIndex.tiff,20160711_C01_013.czi_cellWholeIndex.tiff,02;05;10;,0.065,0.29,20160711_C01_013.czi_nucWholeIndex.tiff,20160711_C01_013.czi_cellWholeIndex.tiff,\\aibsdata\aics\AssayDevelopment\Analysis\toAnimatedCell\2017_02_10_Nuc_Cell_Seg_For_Release_Group_1\20160711_C01\structure_segmentation,20160711_C01_013.czi_structSegmentation.tiff
