DeliveryDate,Version,inputFolder,inputFilename,imageXyPixelSize,imageZPixelSize,memChannel,nucChannel,structureChannel,structureProteinName,lightChannel,timePoint,outputSegmentationPath,outputNucSegWholeFilename,outputCellSegWholeFilename,SegmentationXyPixelSize,SegmentationZPixelSize,outputNucSegWholeSegScaleFilename,outputCellSegWholeSegScaleFilename,structureSegOutputFolder,structureSegOutputFilename
2017_02_10,3.0,\\aibsdata\aics\Microscopy\PRODUCTION\PIPELINE_3_Minipipeline\3500000510\ZSD2\100X_zstack,3500000510_100X_20170131_E05_P03.czi,0.108,0.29,1,3,2,Sec61 beta,4,1,\\aibsdata\aics\AssayDevelopment\Analysis\toAnimatedCell\2017_02_10_Nuc_Cell_Seg_For_Release_Group_1\3500000510\nuc_cell_segmentation,3500000510_100X_20170131_E05_P03.czi_nucWholeIndexImageScale.tiff,3500000510_100X_20170131_E05_P03.czi_cellWholeIndexImageScale.tiff,0.065,0.29,3500000510_100X_20170131_E05_P03.czi_nucWholeIndexSegScale.tiff,3500000510_100X_20170131_E05_P03.czi_cellWholeIndexSegScale.tiff,N/A ,N/A 
2017_02_10,3.0,\\aibsdata\aics\Microscopy\PRODUCTION\PIPELINE_3_Minipipeline\3500000510\ZSD2\100X_zstack,3500000510_100X_20170131_E05_P06.czi,0.108,0.29,1,3,2,Sec61 beta,4,1,\\aibsdata\aics\AssayDevelopment\Analysis\toAnimatedCell\2017_02_10_Nuc_Cell_Seg_For_Release_Group_1\3500000510\nuc_cell_segmentation,3500000510_100X_20170131_E05_P06.czi_nucWholeIndexImageScale.tiff,3500000510_100X_20170131_E05_P06.czi_cellWholeIndexImageScale.tiff,0.065,0.29,3500000510_100X_20170131_E05_P06.czi_nucWholeIndexSegScale.tiff,3500000510_100X_20170131_E05_P06.czi_cellWholeIndexSegScale.tiff,N/A ,N/A 
2017_02_10,3.0,\\aibsdata\aics\Microscopy\PRODUCTION\PIPELINE_3_Minipipeline\3500000510\ZSD2\100X_zstack,3500000510_100X_20170131_E05_P07.czi,0.108,0.29,1,3,2,Sec61 beta,4,1,\\aibsdata\aics\AssayDevelopment\Analysis\toAnimatedCell\2017_02_10_Nuc_Cell_Seg_For_Release_Group_1\3500000510\nuc_cell_segmentation,3500000510_100X_20170131_E05_P07.czi_nucWholeIndexImageScale.tiff,3500000510_100X_20170131_E05_P07.czi_cellWholeIndexImageScale.tiff,0.065,0.29,3500000510_100X_20170131_E05_P07.czi_nucWholeIndexSegScale.tiff,3500000510_100X_20170131_E05_P07.czi_cellWholeIndexSegScale.tiff,N/A ,N/A 
2017_02_10,3.0,\\aibsdata\aics\Microscopy\PRODUCTION\PIPELINE_3_Minipipeline\3500000510\ZSD2\100X_zstack,3500000510_100X_20170131_E05_P08.czi,0.108,0.29,1,3,2,Sec61 beta,4,1,\\aibsdata\aics\AssayDevelopment\Analysis\toAnimatedCell\2017_02_10_Nuc_Cell_Seg_For_Release_Group_1\3500000510\nuc_cell_segmentation,3500000510_100X_20170131_E05_P08.czi_nucWholeIndexImageScale.tiff,3500000510_100X_20170131_E05_P08.czi_cellWholeIndexImageScale.tiff,0.065,0.29,3500000510_100X_20170131_E05_P08.czi_nucWholeIndexSegScale.tiff,3500000510_100X_20170131_E05_P08.czi_cellWholeIndexSegScale.tiff,N/A ,N/A 
2017_02_10,3.0,\\aibsdata\aics\Microscopy\PRODUCTION\PIPELINE_3_Minipipeline\3500000510\ZSD2\100X_zstack,3500000510_100X_20170131_E05_P09.czi,0.108,0.29,1,3,2,Sec61 beta,4,1,\\aibsdata\aics\AssayDevelopment\Analysis\toAnimatedCell\2017_02_10_Nuc_Cell_Seg_For_Release_Group_1\3500000510\nuc_cell_segmentation,3500000510_100X_20170131_E05_P09.czi_nucWholeIndexImageScale.tiff,3500000510_100X_20170131_E05_P09.czi_cellWholeIndexImageScale.tiff,0.065,0.29,3500000510_100X_20170131_E05_P09.czi_nucWholeIndexSegScale.tiff,3500000510_100X_20170131_E05_P09.czi_cellWholeIndexSegScale.tiff,N/A ,N/A 
2017_02_10,3.0,\\aibsdata\aics\Microscopy\PRODUCTION\PIPELINE_3_Minipipeline\3500000510\ZSD2\100X_zstack,3500000510_100X_20170131_E06_P01.czi,0.108,0.29,1,3,2,Sec61 beta,4,1,\\aibsdata\aics\AssayDevelopment\Analysis\toAnimatedCell\2017_02_10_Nuc_Cell_Seg_For_Release_Group_1\3500000510\nuc_cell_segmentation,3500000510_100X_20170131_E06_P01.czi_nucWholeIndexImageScale.tiff,3500000510_100X_20170131_E06_P01.czi_cellWholeIndexImageScale.tiff,0.065,0.29,3500000510_100X_20170131_E06_P01.czi_nucWholeIndexSegScale.tiff,3500000510_100X_20170131_E06_P01.czi_cellWholeIndexSegScale.tiff,N/A ,N/A 
2017_02_10,3.0,\\aibsdata\aics\Microscopy\PRODUCTION\PIPELINE_3_Minipipeline\3500000510\ZSD2\100X_zstack,3500000510_100X_20170131_E06_P04.czi,0.108,0.29,1,3,2,Sec61 beta,4,1,\\aibsdata\aics\AssayDevelopment\Analysis\toAnimatedCell\2017_02_10_Nuc_Cell_Seg_For_Release_Group_1\3500000510\nuc_cell_segmentation,3500000510_100X_20170131_E06_P04.czi_nucWholeIndexImageScale.tiff,3500000510_100X_20170131_E06_P04.czi_cellWholeIndexImageScale.tiff,0.065,0.29,3500000510_100X_20170131_E06_P04.czi_nucWholeIndexSegScale.tiff,3500000510_100X_20170131_E06_P04.czi_cellWholeIndexSegScale.tiff,N/A ,N/A 
2017_02_10,3.0,\\aibsdata\aics\Microscopy\PRODUCTION\PIPELINE_3_Minipipeline\3500000510\ZSD2\100X_zstack,3500000510_100X_20170131_E06_P11.czi,0.108,0.29,1,3,2,Sec61 beta,4,1,\\aibsdata\aics\AssayDevelopment\Analysis\toAnimatedCell\2017_02_10_Nuc_Cell_Seg_For_Release_Group_1\3500000510\nuc_cell_segmentation,3500000510_100X_20170131_E06_P11.czi_nucWholeIndexImageScale.tiff,3500000510_100X_20170131_E06_P11.czi_cellWholeIndexImageScale.tiff,0.065,0.29,3500000510_100X_20170131_E06_P11.czi_nucWholeIndexSegScale.tiff,3500000510_100X_20170131_E06_P11.czi_cellWholeIndexSegScale.tiff,N/A ,N/A 
2017_02_10,3.0,\\aibsdata\aics\Microscopy\PRODUCTION\PIPELINE_3_Minipipeline\3500000510\ZSD2\100X_zstack,3500000510_100X_20170131_E06_P16.czi,0.108,0.29,1,3,2,Sec61 beta,4,1,\\aibsdata\aics\AssayDevelopment\Analysis\toAnimatedCell\2017_02_10_Nuc_Cell_Seg_For_Release_Group_1\3500000510\nuc_cell_segmentation,3500000510_100X_20170131_E06_P16.czi_nucWholeIndexImageScale.tiff,3500000510_100X_20170131_E06_P16.czi_cellWholeIndexImageScale.tiff,0.065,0.29,3500000510_100X_20170131_E06_P16.czi_nucWholeIndexSegScale.tiff,3500000510_100X_20170131_E06_P16.czi_cellWholeIndexSegScale.tiff,N/A ,N/A 
2017_02_10,3.0,\\aibsdata\aics\Microscopy\PRODUCTION\PIPELINE_3_Minipipeline\3500000510\ZSD2\100X_zstack,3500000510_100X_20170131_E06_P18.czi,0.108,0.29,1,3,2,Sec61 beta,4,1,\\aibsdata\aics\AssayDevelopment\Analysis\toAnimatedCell\2017_02_10_Nuc_Cell_Seg_For_Release_Group_1\3500000510\nuc_cell_segmentation,3500000510_100X_20170131_E06_P18.czi_nucWholeIndexImageScale.tiff,3500000510_100X_20170131_E06_P18.czi_cellWholeIndexImageScale.tiff,0.065,0.29,3500000510_100X_20170131_E06_P18.czi_nucWholeIndexSegScale.tiff,3500000510_100X_20170131_E06_P18.czi_cellWholeIndexSegScale.tiff,N/A ,N/A 
