Index,DeliveryDate,Version,inputFolder,inputFilename,imageXyPixelSize,imageZPixelSize,memChannel,nucChannel,structureChannel,structureProteinName,lightChannel,timePoint,outputSegmentationPath,outputNucSegWholeFilename,outputCellSegWholeFilename,outputCellSegIndex,SegmentationXyPixelSize,SegmentationZPixelSize,outputNucSegWholeSegScaleFilename,outputCellSegWholeSegScaleFilename,structureSegOutputFolder,structureSegOutputFilename
1,2017_02_17,3,\\aibsdata\aics\AssayDevelopment\MicroscopyData\Irina\2016\20161216,20161216_I03_001.czi,0.065,0.29,1,3,2,Alpha actinin,4,1,\\aibsdata\aics\AssayDevelopment\Analysis\toAnimatedCell\2017_02_17_Nuc_Cell_Seg_For_Release_Group_2\20161216_I03\nuc_cell_segmentation,20161216_I03_001.czi_nucWholeIndex.tiff,20161216_I03_001.czi_cellWholeIndex.tiff,1;4;7;,0.065,0.29,20161216_I03_001.czi_nucWholeIndex.tiff,20161216_I03_001.czi_cellWholeIndex.tiff,,
2,2017_02_17,3,\\aibsdata\aics\AssayDevelopment\MicroscopyData\Irina\2016\20161216,20161216_I03_002.czi,0.065,0.29,1,3,2,Alpha actinin,4,1,\\aibsdata\aics\AssayDevelopment\Analysis\toAnimatedCell\2017_02_17_Nuc_Cell_Seg_For_Release_Group_2\20161216_I03\nuc_cell_segmentation,20161216_I03_002.czi_nucWholeIndex.tiff,20161216_I03_002.czi_cellWholeIndex.tiff,2;5;,0.065,0.29,20161216_I03_002.czi_nucWholeIndex.tiff,20161216_I03_002.czi_cellWholeIndex.tiff,,
3,2017_02_17,3,\\aibsdata\aics\AssayDevelopment\MicroscopyData\Irina\2016\20161216,20161216_I03_003.czi,0.065,0.29,1,3,2,Alpha actinin,4,1,\\aibsdata\aics\AssayDevelopment\Analysis\toAnimatedCell\2017_02_17_Nuc_Cell_Seg_For_Release_Group_2\20161216_I03\nuc_cell_segmentation,20161216_I03_003.czi_nucWholeIndex.tiff,20161216_I03_003.czi_cellWholeIndex.tiff,1;2;3;4;5;6;7;8;,0.065,0.29,20161216_I03_003.czi_nucWholeIndex.tiff,20161216_I03_003.czi_cellWholeIndex.tiff,,
4,2017_02_17,3,\\aibsdata\aics\AssayDevelopment\MicroscopyData\Irina\2016\20161216,20161216_I03_004.czi,0.065,0.29,1,3,2,Alpha actinin,4,1,\\aibsdata\aics\AssayDevelopment\Analysis\toAnimatedCell\2017_02_17_Nuc_Cell_Seg_For_Release_Group_2\20161216_I03\nuc_cell_segmentation,20161216_I03_004.czi_nucWholeIndex.tiff,20161216_I03_004.czi_cellWholeIndex.tiff,1;2;3;5;6;,0.065,0.29,20161216_I03_004.czi_nucWholeIndex.tiff,20161216_I03_004.czi_cellWholeIndex.tiff,,
5,2017_02_17,3,\\aibsdata\aics\AssayDevelopment\MicroscopyData\Irina\2016\20161216,20161216_I03_005.czi,0.065,0.29,1,3,2,Alpha actinin,4,1,\\aibsdata\aics\AssayDevelopment\Analysis\toAnimatedCell\2017_02_17_Nuc_Cell_Seg_For_Release_Group_2\20161216_I03\nuc_cell_segmentation,20161216_I03_005.czi_nucWholeIndex.tiff,20161216_I03_005.czi_cellWholeIndex.tiff,1;3;4;,0.065,0.29,20161216_I03_005.czi_nucWholeIndex.tiff,20161216_I03_005.czi_cellWholeIndex.tiff,,
6,2017_02_17,3,\\aibsdata\aics\AssayDevelopment\MicroscopyData\Irina\2016\20161216,20161216_I03_006.czi,0.065,0.29,1,3,2,Alpha actinin,4,1,\\aibsdata\aics\AssayDevelopment\Analysis\toAnimatedCell\2017_02_17_Nuc_Cell_Seg_For_Release_Group_2\20161216_I03\nuc_cell_segmentation,20161216_I03_006.czi_nucWholeIndex.tiff,20161216_I03_006.czi_cellWholeIndex.tiff,3;4;5;,0.065,0.29,20161216_I03_006.czi_nucWholeIndex.tiff,20161216_I03_006.czi_cellWholeIndex.tiff,,
7,2017_02_17,3,\\aibsdata\aics\AssayDevelopment\MicroscopyData\Irina\2016\20161216,20161216_I03_007.czi,0.065,0.29,1,3,2,Alpha actinin,4,1,\\aibsdata\aics\AssayDevelopment\Analysis\toAnimatedCell\2017_02_17_Nuc_Cell_Seg_For_Release_Group_2\20161216_I03\nuc_cell_segmentation,20161216_I03_007.czi_nucWholeIndex.tiff,20161216_I03_007.czi_cellWholeIndex.tiff,1;2;4;5;6;,0.065,0.29,20161216_I03_007.czi_nucWholeIndex.tiff,20161216_I03_007.czi_cellWholeIndex.tiff,,
8,2017_02_17,3,\\aibsdata\aics\AssayDevelopment\MicroscopyData\Irina\2016\20161216,20161216_I03_008.czi,0.065,0.29,1,3,2,Alpha actinin,4,1,\\aibsdata\aics\AssayDevelopment\Analysis\toAnimatedCell\2017_02_17_Nuc_Cell_Seg_For_Release_Group_2\20161216_I03\nuc_cell_segmentation,20161216_I03_008.czi_nucWholeIndex.tiff,20161216_I03_008.czi_cellWholeIndex.tiff,1;2;3;4;5;6;,0.065,0.29,20161216_I03_008.czi_nucWholeIndex.tiff,20161216_I03_008.czi_cellWholeIndex.tiff,,
9,2017_02_17,3,\\aibsdata\aics\AssayDevelopment\MicroscopyData\Irina\2016\20161216,20161216_I03_009.czi,0.065,0.29,1,3,2,Alpha actinin,4,1,\\aibsdata\aics\AssayDevelopment\Analysis\toAnimatedCell\2017_02_17_Nuc_Cell_Seg_For_Release_Group_2\20161216_I03\nuc_cell_segmentation,20161216_I03_009.czi_nucWholeIndex.tiff,20161216_I03_009.czi_cellWholeIndex.tiff,1;2;4;5;6;7;,0.065,0.29,20161216_I03_009.czi_nucWholeIndex.tiff,20161216_I03_009.czi_cellWholeIndex.tiff,,
10,2017_02_17,3,\\aibsdata\aics\AssayDevelopment\MicroscopyData\Irina\2016\20161216,20161216_I03_010.czi,0.065,0.29,1,3,2,Alpha actinin,4,1,\\aibsdata\aics\AssayDevelopment\Analysis\toAnimatedCell\2017_02_17_Nuc_Cell_Seg_For_Release_Group_2\20161216_I03\nuc_cell_segmentation,20161216_I03_010.czi_nucWholeIndex.tiff,20161216_I03_010.czi_cellWholeIndex.tiff,1;2;5;6;,0.065,0.29,20161216_I03_010.czi_nucWholeIndex.tiff,20161216_I03_010.czi_cellWholeIndex.tiff,,
