Index,DeliveryDate,Version,inputFolder,inputFilename,imageXyPixelSize,imageZPixelSize,memChannel,nucChannel,structureChannel,structureProteinName,lightChannel,timePoint,outputSegmentationPath,outputNucSegWholeFilename,outputCellSegWholeFilename,outputCellSegIndex,SegmentationXyPixelSize,SegmentationZPixelSize,outputNucSegWholeSegScaleFilename,outputCellSegWholeSegScaleFilename,structureSegOutputFolder,structureSegOutputFilename
1,2017_02_17,3,\\aibsdata\aics\Microscopy\PRODUCTION\PIPELINE_3_Minipipeline\20170210,20170210_S01_001.czi,0.108,0.29,2,6,4,Tom20,7,1,\\aibsdata\aics\AssayDevelopment\Analysis\toAnimatedCell\2017_02_17_Nuc_Cell_Seg_For_Release_Group_2\20170210_S01\nuc_cell_segmentation,20170210_S01_001.czi_nucWholeIndexImageScale.tiff,20170210_S01_001.czi_cellWholeIndexImageScale.tiff,1;2;5;,0.065,0.29,20170210_S01_001.czi_nucWholeIndexSegScale.tiff,20170210_S01_001.czi_cellWholeIndexSegScale.tiff,,
2,2017_02_17,3,\\aibsdata\aics\Microscopy\PRODUCTION\PIPELINE_3_Minipipeline\20170210,20170210_S01_003.czi,0.108,0.29,2,6,4,Tom20,7,1,\\aibsdata\aics\AssayDevelopment\Analysis\toAnimatedCell\2017_02_17_Nuc_Cell_Seg_For_Release_Group_2\20170210_S01\nuc_cell_segmentation,20170210_S01_003.czi_nucWholeIndexImageScale.tiff,20170210_S01_003.czi_cellWholeIndexImageScale.tiff,2;3;,0.065,0.29,20170210_S01_003.czi_nucWholeIndexSegScale.tiff,20170210_S01_003.czi_cellWholeIndexSegScale.tiff,,
3,2017_02_17,3,\\aibsdata\aics\Microscopy\PRODUCTION\PIPELINE_3_Minipipeline\20170210,20170210_S01_004.czi,0.108,0.29,2,6,4,Tom20,7,1,\\aibsdata\aics\AssayDevelopment\Analysis\toAnimatedCell\2017_02_17_Nuc_Cell_Seg_For_Release_Group_2\20170210_S01\nuc_cell_segmentation,20170210_S01_004.czi_nucWholeIndexImageScale.tiff,20170210_S01_004.czi_cellWholeIndexImageScale.tiff,1;2;3;4;,0.065,0.29,20170210_S01_004.czi_nucWholeIndexSegScale.tiff,20170210_S01_004.czi_cellWholeIndexSegScale.tiff,,
4,2017_02_17,3,\\aibsdata\aics\Microscopy\PRODUCTION\PIPELINE_3_Minipipeline\20170210,20170210_S01_005.czi,0.108,0.29,2,6,4,Tom20,7,1,\\aibsdata\aics\AssayDevelopment\Analysis\toAnimatedCell\2017_02_17_Nuc_Cell_Seg_For_Release_Group_2\20170210_S01\nuc_cell_segmentation,20170210_S01_005.czi_nucWholeIndexImageScale.tiff,20170210_S01_005.czi_cellWholeIndexImageScale.tiff,1;4;,0.065,0.29,20170210_S01_005.czi_nucWholeIndexSegScale.tiff,20170210_S01_005.czi_cellWholeIndexSegScale.tiff,,
5,2017_02_17,3,\\aibsdata\aics\Microscopy\PRODUCTION\PIPELINE_3_Minipipeline\20170210,20170210_S01_009.czi,0.108,0.29,2,6,4,Tom20,7,1,\\aibsdata\aics\AssayDevelopment\Analysis\toAnimatedCell\2017_02_17_Nuc_Cell_Seg_For_Release_Group_2\20170210_S01\nuc_cell_segmentation,20170210_S01_009.czi_nucWholeIndexImageScale.tiff,20170210_S01_009.czi_cellWholeIndexImageScale.tiff,2;3;,0.065,0.29,20170210_S01_009.czi_nucWholeIndexSegScale.tiff,20170210_S01_009.czi_cellWholeIndexSegScale.tiff,,
6,2017_02_17,3,\\aibsdata\aics\Microscopy\PRODUCTION\PIPELINE_3_Minipipeline\20170210,20170210_S01_011.czi,0.108,0.29,2,6,4,Tom20,7,1,\\aibsdata\aics\AssayDevelopment\Analysis\toAnimatedCell\2017_02_17_Nuc_Cell_Seg_For_Release_Group_2\20170210_S01\nuc_cell_segmentation,20170210_S01_011.czi_nucWholeIndexImageScale.tiff,20170210_S01_011.czi_cellWholeIndexImageScale.tiff,1;,0.065,0.29,20170210_S01_011.czi_nucWholeIndexSegScale.tiff,20170210_S01_011.czi_cellWholeIndexSegScale.tiff,,
7,2017_02_17,3,\\aibsdata\aics\Microscopy\PRODUCTION\PIPELINE_3_Minipipeline\20170210,20170210_S01_017.czi,0.108,0.29,2,6,4,Tom20,7,1,\\aibsdata\aics\AssayDevelopment\Analysis\toAnimatedCell\2017_02_17_Nuc_Cell_Seg_For_Release_Group_2\20170210_S01\nuc_cell_segmentation,20170210_S01_017.czi_nucWholeIndexImageScale.tiff,20170210_S01_017.czi_cellWholeIndexImageScale.tiff,3;,0.065,0.29,20170210_S01_017.czi_nucWholeIndexSegScale.tiff,20170210_S01_017.czi_cellWholeIndexSegScale.tiff,,
8,2017_02_17,3,\\aibsdata\aics\Microscopy\PRODUCTION\PIPELINE_3_Minipipeline\20170210,20170210_S01_018.czi,0.108,0.29,2,6,4,Tom20,7,1,\\aibsdata\aics\AssayDevelopment\Analysis\toAnimatedCell\2017_02_17_Nuc_Cell_Seg_For_Release_Group_2\20170210_S01\nuc_cell_segmentation,20170210_S01_018.czi_nucWholeIndexImageScale.tiff,20170210_S01_018.czi_cellWholeIndexImageScale.tiff,1;2;3;4;5;,0.065,0.29,20170210_S01_018.czi_nucWholeIndexSegScale.tiff,20170210_S01_018.czi_cellWholeIndexSegScale.tiff,,
9,2017_02_17,3,\\aibsdata\aics\Microscopy\PRODUCTION\PIPELINE_3_Minipipeline\20170210,20170210_S01_019.czi,0.108,0.29,2,6,4,Tom20,7,1,\\aibsdata\aics\AssayDevelopment\Analysis\toAnimatedCell\2017_02_17_Nuc_Cell_Seg_For_Release_Group_2\20170210_S01\nuc_cell_segmentation,20170210_S01_019.czi_nucWholeIndexImageScale.tiff,20170210_S01_019.czi_cellWholeIndexImageScale.tiff,1;2;3;4;5;,0.065,0.29,20170210_S01_019.czi_nucWholeIndexSegScale.tiff,20170210_S01_019.czi_cellWholeIndexSegScale.tiff,,
10,2017_02_17,3,\\aibsdata\aics\Microscopy\PRODUCTION\PIPELINE_3_Minipipeline\20170210,20170210_S01_021.czi,0.108,0.29,2,6,4,Tom20,7,1,\\aibsdata\aics\AssayDevelopment\Analysis\toAnimatedCell\2017_02_17_Nuc_Cell_Seg_For_Release_Group_2\20170210_S01\nuc_cell_segmentation,20170210_S01_021.czi_nucWholeIndexImageScale.tiff,20170210_S01_021.czi_cellWholeIndexImageScale.tiff,1;3;4;5;,0.065,0.29,20170210_S01_021.czi_nucWholeIndexSegScale.tiff,20170210_S01_021.czi_cellWholeIndexSegScale.tiff,,
